"lwechallenge/60-010.txt" exists.
-------------------------
Primal attack, TU LWE challenge n=60, m=3600, alpha=0.010, q=3607 
Chose 221 samples. Predict solution at bkz-92 + svp-122. 
Initial slope = -0.065713
dim = 222, dvol = 522.71923621791

After a sigma normalization,slope = -0.065713
cost_model = 2
(10,1,1) -0.065560 -1.205034
(11,1,1) -0.065398 -0.189956
(12,1,1) -0.065213 0.410136
(13,1,1) -0.065002 0.840356
(14,1,1) -0.064723 1.177518
(15,1,1) -0.064433 1.455838
(16,1,1) -0.064080 1.693568
(17,1,1) -0.063744 1.901603
(18,1,1) -0.063341 2.086970
(19,1,1) -0.062933 2.254466
(20,1,1) -0.062473 2.407515
(21,1,1) -0.062075 2.548643
(22,1,1) -0.061511 2.679770
(23,1,1) -0.060985 2.802386
(24,1,1) -0.060449 2.917674
(25,1,1) -0.059921 3.026588
(26,1,1) -0.059441 3.129907
(27,1,1) -0.058931 3.228277
(28,1,1) -0.058430 3.322239
(29,1,1) -0.057935 3.412250
(30,1,1) -0.057401 3.498702
(31,1,1) -0.056851 3.581930
(32,1,1) -0.056422 3.662226
(33,1,1) -0.055901 3.739843
(34,1,1) -0.055458 3.815005
(35,1,1) -0.054977 3.887908
(36,1,1) -0.054499 3.958727
(37,1,1) -0.054025 4.027616
(38,1,1) -0.053531 4.094715
(39,1,1) -0.053148 4.160149
(40,1,1) -0.052782 4.224030
(41,1,1) -0.052447 4.286459
(42,1,1) -0.051937 4.347530
(43,1,1) -0.051572 4.425366
(44,1,1) -0.051196 4.510017
(45,1,1) -0.050538 4.601643
(46,1,1) -0.049978 4.700335
(47,1,1) -0.049490 4.806119
(48,1,1) -0.049061 4.918948
(49,1,1) -0.048682 5.038712
(72,1,1) -0.046485 11.811547
(75,1,1) -0.044792 12.861764
(78,1,1) -0.043480 13.522572
(80,1,1) -0.042559 14.005049
(82,1,1) -0.041875 14.391527
(84,1,1) -0.041327 14.718037
(86,1,1) -0.040851 15.003601
(88,1,1) -0.040419 15.250540
(90,1,1) -0.040015 15.477070
(92,1,1) -0.039631 15.687511
(94,1,1) -0.039261 15.884979
(96,1,1) -0.038903 16.071792
(98,1,1) -0.038556 16.249723
(100,1,1) -0.038219 16.414023
(102,1,1) -0.037891 16.572784
(104,1,1) -0.037574 16.726742
(106,1,1) -0.037265 16.876509
(108,1,1) -0.036965 17.022595
(110,1,1) -0.036675 17.165433
(112,1,1) -0.036395 17.305393
(114,1,1) -0.036124 17.437791
(116,1,1) -0.035862 17.568413
(118,1,1) -0.035609 17.708282
(120,1,1) -0.035364 17.877543
(122,1,1) -0.035126 18.078099
(124,1,1) -0.034894 18.310576
(126,1,1) -0.034669 18.574218
(128,1,1) -0.034449 18.829850
(130,1,1) -0.034235 19.115268
(132,1,1) -0.034026 19.427728
(134,1,1) -0.033822 19.763840
(136,1,1) -0.033623 20.119974
(138,1,1) -0.033427 20.492592
(140,1,1) -0.033236 20.830816
(142,1,1) -0.033049 21.247466
(144,1,1) -0.032866 21.720110
(146,1,1) -0.032686 22.237864
(148,1,1) -0.032510 22.789758
(150,1,1) -0.032338 23.366282
(152,1,1) -0.032169 23.998021
(154,1,1) -0.032004 24.541651
(156,1,1) -0.031843 25.148484
(158,1,1) -0.031684 25.800984
(160,1,1) -0.031530 26.484425
(162,1,1) -0.031378 27.187924
(164,1,1) -0.031231 27.904052
(166,1,1) -0.031086 28.627988
(168,1,1) -0.030946 29.221772
(170,1,1) -0.030809 29.865123
(172,1,1) -0.030676 30.542496
(174,1,1) -0.030546 31.242116
(176,1,1) -0.030421 31.955825
(178,1,1) -0.030299 32.678274
(180,1,1) -0.030181 33.271287
(182,1,1) -0.030067 33.914093
(184,1,1) -0.029958 34.591103
(186,1,1) -0.029852 35.290490
(188,1,1) -0.029751 36.004053
(190,1,1) -0.029654 36.726412
(192,1,1) -0.029562 37.454159
(194,1,1) -0.029474 38.049913
(196,1,1) -0.029391 38.694653
(198,1,1) -0.029314 39.372952
(200,1,1) -0.029241 40.073166
(202,1,1) -0.029173 40.787245
(204,1,1) -0.029111 41.509923
(206,1,1) -0.029055 42.237864
(208,1,1) -0.029004 42.833717
(210,1,1) -0.028960 43.478528
